Player,Debuted,Debut_age,Retired,Ret_age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,HOF
Barry Bonds,1986,21,2007,42,2986,12606,9847,2227,2935,1495,601,77,762,1996,514,141.0,2558,1539.0,0.298,0.444,0.607,1.051,182,5976,165.0,106,4.0,91.0,688.0,0
Henry Aaron,1954,20,1976,42,3298,13941,12364,2174,3771,2294,624,98,755,2297,240,73.0,1402,1383.0,0.305,0.374,0.555,0.928,155,6856,328.0,32,21.0,121.0,293.0,1
Babe Ruth,1914,19,1935,40,2503,10628,8399,2174,2873,1517,506,136,714,2214,123,116.0,2062,1330.0,0.342,0.474,0.69,1.164,206,5793,2.0,43,114.0,0.0,79.0,1
Alex Rodriguez,1994,18,2016,40,2784,12207,10566,2021,3115,1840,548,31,696,2086,329,76.0,1338,2287.0,0.295,0.38,0.55,0.93,140,5813,261.0,176,16.0,111.0,97.0,0
Willie Mays,1948,17,1973,42,3005,12545,10924,2068,3293,1967,525,141,660,1909,339,103.0,1468,1526.0,0.301,0.384,0.557,0.94,155,6080,251.0,45,13.0,91.0,214.0,1
Ken Griffey Jr.,1989,19,2010,40,2671,11304,9801,1662,2781,1589,524,38,630,1836,184,69.0,1312,1779.0,0.284,0.37,0.538,0.907,136,5271,199.0,81,8.0,102.0,246.0,1
Jim Thome,1991,20,2012,41,2543,10313,8422,1583,2328,1239,451,26,612,1699,19,20.0,1747,2548.0,0.276,0.402,0.554,0.956,147,4667,165.0,69,1.0,74.0,173.0,1
Sammy Sosa,1989,20,2007,38,2354,9896,8813,1475,2408,1375,379,45,609,1667,234,107.0,929,2306.0,0.273,0.344,0.534,0.878,128,4704,202.0,59,17.0,78.0,154.0,0
Frank Robinson,1956,20,1976,40,2808,11744,10006,1829,2943,1757,528,72,586,1812,204,77.0,1420,1532.0,0.294,0.389,0.537,0.926,154,5373,270.0,198,17.0,102.0,218.0,1
Mark McGwire,1986,22,2001,37,1874,7660,6187,1167,1626,785,252,6,583,1414,12,8.0,1317,1596.0,0.263,0.394,0.588,0.982,163,3639,147.0,75,3.0,78.0,150.0,0
Harmon Killebrew,1954,18,1975,39,2435,9833,8147,1283,2086,1199,290,24,573,1584,19,18.0,1559,1699.0,0.256,0.376,0.509,0.884,143,4143,243.0,48,0.0,77.0,160.0,1
Rafael Palmeiro,1986,21,2005,40,2831,12046,10472,1663,3020,1828,585,38,569,1835,97,40.0,1353,1348.0,0.288,0.371,0.515,0.885,132,5388,232.0,87,15.0,119.0,172.0,0
Reggie Jackson,1967,21,1987,41,2820,11418,9864,1551,2584,1509,463,49,563,1702,228,115.0,1375,2597.0,0.262,0.356,0.49,0.846,139,4834,183.0,96,13.0,68.0,164.0,1
Manny Ramirez,1993,21,2011,39,2302,9774,8244,1544,2574,1452,547,20,555,1831,38,33.0,1329,1813.0,0.312,0.411,0.585,0.996,154,4826,243.0,109,2.0,90.0,216.0,0
Mike Schmidt,1972,22,1989,39,2404,10062,8352,1506,2234,1219,408,59,548,1595,174,92.0,1507,1883.0,0.267,0.38,0.527,0.908,148,4404,156.0,79,16.0,108.0,201.0,1
David Ortiz,1997,21,2016,40,2408,10091,8640,1419,2472,1280,632,19,541,1768,17,9.0,1319,1750.0,0.286,0.38,0.552,0.931,141,4765,236.0,38,2.0,92.0,209.0,1
Mickey Mantle,1951,19,1968,36,2401,9910,8102,1676,2415,1463,344,72,536,1509,153,38.0,1733,1710.0,0.298,0.421,0.557,0.977,172,4511,113.0,13,14.0,47.0,148.0,1
Jimmie Foxx,1925,17,1945,37,2317,9677,8134,1751,2646,1529,458,125,534,1922,87,77.0,1452,1311.0,0.325,0.428,0.609,1.038,163,4956,69.0,13,72.0,0.0,134.0,1
Willie McCovey,1959,21,1980,42,2588,9692,8197,1229,2211,1291,353,46,521,1555,26,22.0,1345,1550.0,0.27,0.374,0.515,0.889,147,4219,176.0,69,5.0,70.0,260.0,1
Frank Thomas (DH),1990,22,2008,40,2322,10075,8199,1494,2468,1440,495,12,521,1704,32,23.0,1667,1397.0,0.301,0.419,0.555,0.974,156,4550,226.0,87,0.0,121.0,168.0,1
Ted Williams,1939,20,1960,41,2292,9792,7706,1798,2654,1537,525,71,521,1839,24,17.0,2021,709.0,0.344,0.482,0.634,1.116,191,4884,197.0,39,5.0,20.0,258.0,1
Ernie Banks,1953,22,1971,40,2528,10396,9421,1305,2583,1574,407,90,512,1636,50,53.0,763,1236.0,0.274,0.33,0.5,0.83,122,4706,229.0,70,45.0,96.0,202.0,1
Eddie Mathews,1952,20,1968,36,2391,10101,8537,1509,2315,1377,354,72,512,1453,68,39.0,1444,1487.0,0.271,0.376,0.509,0.885,143,4349,123.0,26,36.0,58.0,142.0,1
Mel Ott,1926,17,1947,38,2730,11347,9456,1859,2876,1805,488,72,511,1860,89,95.0,1708,896.0,0.304,0.414,0.533,0.947,155,5041,82.0,64,110.0,0.0,129.0,1
Gary Sheffield,1988,19,2009,40,2576,10947,9217,1636,2689,1686,467,27,509,1676,253,104.0,1475,1171.0,0.292,0.393,0.514,0.907,140,4737,235.0,135,9.0,111.0,130.0,0
Eddie Murray,1977,21,1997,41,3026,12817,11336,1627,3255,2156,560,35,504,1917,110,43.0,1333,1516.0,0.287,0.359,0.476,0.836,129,5397,315.0,18,2.0,128.0,222.0,1
Lou Gehrig,1923,20,1939,36,2164,9665,8001,1888,2721,1531,534,163,493,1995,102,102.0,1508,790.0,0.34,0.447,0.632,1.08,179,5060,2.0,45,107.0,0.0,114.0,1
Fred McGriff,1986,22,2004,40,2460,10174,8757,1349,2490,1532,441,24,493,1550,72,38.0,1305,1882.0,0.284,0.377,0.509,0.886,134,4458,226.0,39,2.0,71.0,171.0,1
Adrian Beltre,1998,19,2018,39,2933,12130,11068,1524,3166,2015,636,38,477,1707,121,42.0,848,1732.0,0.286,0.339,0.48,0.819,116,5309,279.0,97,14.0,103.0,112.0,1
Stan Musial,1941,20,1963,42,3026,12721,10972,1949,3630,2253,725,177,475,1951,78,71.0,1599,696.0,0.331,0.417,0.559,0.976,159,6134,243.0,53,35.0,53.0,298.0,1
Willie Stargell,1962,22,1982,42,2360,9027,7927,1194,2232,1279,423,55,475,1540,17,16.0,937,1936.0,0.282,0.36,0.529,0.889,147,4190,143.0,78,9.0,75.0,227.0,1
Carlos Delgado,1993,21,2009,37,2035,8657,7283,1241,2038,1064,483,18,473,1512,14,8.0,1109,1745.0,0.28,0.383,0.546,0.929,138,3976,152.0,172,0.0,93.0,186.0,0
Chipper Jones,1993,21,2012,40,2499,10614,8984,1619,2726,1671,549,38,468,1623,150,46.0,1512,1409.0,0.303,0.401,0.529,0.93,141,4755,253.0,18,3.0,97.0,177.0,1
Dave Winfield,1973,21,1995,43,2973,12358,11003,1669,3110,2017,540,88,465,1833,223,96.0,1216,1686.0,0.283,0.353,0.475,0.827,130,5221,319.0,25,19.0,95.0,172.0,1
Jose Canseco,1985,20,2001,36,1887,8129,7057,1186,1877,1061,340,14,462,1407,200,88.0,906,1942.0,0.266,0.353,0.515,0.867,132,3631,178.0,84,1.0,81.0,63.0,0
Adam Dunn,2001,21,2014,34,2001,8328,6883,1097,1631,825,334,10,462,1168,63,25.0,1317,2379.0,0.237,0.364,0.49,0.854,124,3371,100.0,86,2.0,40.0,122.0,0
Carl Yastrzemski,1961,21,1983,43,3308,13992,11988,1816,3419,2262,646,59,452,1844,168,116.0,1845,1393.0,0.285,0.379,0.462,0.841,130,5539,323.0,40,13.0,105.0,190.0,1
